strategy,mode,ann_return,ann_excess,sharpe,max_drawdown,calmar,win_rate,avg_turnover,total_cost,info_ratio,t_stat,n_days
"HoldDropBot(K=10,H=3,D=1,B=20)",fixed,32.04,0.87,1.184,42.06,0.762,47.8,16.78,281850.0,0.165,0.278,715
"HoldDropBot(K=10,H=3,D=1,B=30)",compound,27.26,-3.91,1.042,44.13,0.618,47.7,20.24,1039331.0,-0.069,-0.117,715
"HoldDropBot(K=10,H=3,D=1,B=30)",fixed,27.26,-3.91,1.042,44.13,0.618,47.7,20.24,340018.0,-0.069,-0.117,715
"HoldDropBot(K=10,H=4,D=1,B=10)",compound,31.92,0.74,1.201,41.17,0.775,50.2,13.2,694183.0,0.153,0.259,715
"HoldDropBot(K=10,H=4,D=1,B=10)",fixed,31.92,0.74,1.201,41.17,0.775,50.2,13.2,221562.0,0.153,0.259,715
"HoldDropBot(K=10,H=4,D=1,B=20)",compound,30.58,-0.6,1.142,39.27,0.779,47.1,17.06,886758.0,0.095,0.16,715
"HoldDropBot(K=10,H=4,D=1,B=20)",fixed,30.58,-0.6,1.142,39.27,0.779,47.1,17.06,286560.0,0.095,0.16,715
"HoldDropBot(K=10,H=4,D=1,B=30)",compound,27.4,-3.77,1.058,43.16,0.635,47.7,20.2,1044435.0,-0.071,-0.119,715
"HoldDropBot(K=10,H=4,D=1,B=30)",fixed,27.4,-3.77,1.058,43.16,0.635,47.7,20.2,339312.0,-0.071,-0.119,715
"ThresholdExit(K=10,M=20)",compound,-4.12,-35.29,-0.022,60.3,-0.068,39.7,42.11,1521573.0,-1.798,-3.038,715
"ThresholdExit(K=10,M=20)",fixed,-4.13,-35.31,-0.023,60.3,-0.069,39.7,42.11,708105.0,-1.799,-3.04,715
"ThresholdExit(K=10,M=30)",compound,10.52,-20.65,0.512,50.23,0.21,43.2,33.13,1338297.0,-0.959,-1.621,715
"ThresholdExit(K=10,M=30)",fixed,10.51,-20.67,0.512,50.23,0.209,43.2,33.13,556914.0,-0.96,-1.622,715
"ThresholdExit(K=10,M=50)",compound,21.46,-9.72,0.871,44.14,0.486,43.4,20.43,978489.0,-0.373,-0.63,715
"ThresholdExit(K=10,M=50)",fixed,21.46,-9.72,0.871,44.14,0.486,43.4,20.43,343316.0,-0.373,-0.63,715
ScoreWeighted(K=10),compound,-23.52,-54.69,-0.865,71.05,-0.331,36.8,60.34,1608175.0,-3.175,-5.365,715
ScoreWeighted(K=10),fixed,-23.54,-54.71,-0.866,71.05,-0.331,36.8,60.34,1014962.0,-3.177,-5.368,715
ScoreWeighted(K=20),compound,-21.03,-52.2,-0.902,67.62,-0.311,34.7,51.84,1390069.0,-4.266,-7.209,715
ScoreWeighted(K=20),fixed,-21.04,-52.21,-0.902,67.62,-0.311,34.7,51.84,1743790.0,-4.267,-7.211,715
